"codigoSector";"descripcionSector";"codigoEntidad";"nombreEntidad";"periodo";"C110";"C120";"C130";"C139";"C140";"C150";"C160";"C170";"C180";"C210";"C220";"C230";"C240";"C250";"C260";"C310";"C330";"C190";"C320";"C290";"C340";"C350";"C360";"C380"
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-01-01;542790875461,4;603916037211,05;2482698128121,37;-35988147435,67;2661776087,08;13438096597,64;81364023043,92;81375782339,07;86772491363,06;2650605895039,79;0;698063407185,78;95522839077,59;40129306880,1;21379934704,76;121762273318,18;30563242125,34;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-02-01;552958119256,66;554604337582,08;2466799106864,55;-37068729368,29;2144141487,82;12871827379,02;81934615334,82;81484769742,08;43048665599,64;2512820899291,22;72723223611,12;681211291631,04;97859596052,88;19343343729,36;21379263208,18;121762273318,18;30135586502,98;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-03-01;573223814179,16;503120926025,44;2479128823662,9;-38009107563,06;2594709322,38;13037034451,78;82085824001,52;81756988821,16;37471925078,13;2544944533810,32;12001833333,33;678743913412,45;87436496792,62;34775924630,14;21147214777,03;121762273318,18;30141316154,97;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-04-01;532217022677,07;534414292163,7;2475442191521,49;-38374597176,86;3597435807,67;12941779884,73;83480265590,46;81722047499,05;42123965525,73;2581132086819,36;6000833333,33;650338943722,56;89989444239,32;20695377528,24;21196515521,64;121762273318,18;31028903623,67;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-05-01;528172139433,83;566890529876,78;2481101951474,26;-39558565022,44;3257643780,69;12933283882,03;85437742114,41;81803578176,01;47972814520,71;2613736643103,09;0;657358371520,52;93519559032,4;21204708460,59;21453654604,83;121762273318,18;32074823735;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-06-01;576535041241,48;641592549830,5;2475988839938,74;-42220878478,56;1988798502,27;13086832425,8;86322554902,53;83019100653,79;38137619975,72;2704738808274,28;0;678297954303,16;93797962607,17;21116128699,01;21198235274,07;121762273318,18;32334546366,05;0;0;0;189527978317,58;29916490639,41;0;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-07-01;536980236387,79;666887528878,19;2497226025650,68;-42286978204,35;2126419173,15;12975095896,21;87717118735,01;83330022162,64;41982198368,71;2724350249120,58;0;660758535088,09;98803796885,89;23308691516,93;21283513590,17;121762273318,18;32846366830,26;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-08-01;543101776875,46;623210429589,23;2504238781012,77;-42420494872,09;2258321990,96;13797183644,53;88623815138,53;81773939146,2;41759130028,46;2679195168844,52;6531541333,58;665176249708,7;100294648313,71;23526987951,21;21405103194,12;121762273318,18;32473743061,17;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-09-01;535278236963,26;630178052752,87;2513535530859,02;-42587103751,13;2876124357,83;13197375179,29;88952604164,43;82246975504,45;40321352283,93;2664486589525,64;0;694715791370,99;101784719200,32;22206234246,8;21195223750,82;121762273318,18;31494065639,02;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-10-01;569995817267,76;679590024364,97;2530470444929,68;-42506985496,48;2853320221,38;13705402767,12;91198653714,74;81875626405,47;44480950783,11;2691611992837,92;33005958333,34;733065832768,98;105293128401,67;22144697561,23;21268348845,52;121762273318,18;34746017102,06;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-11-01;616351777025,07;626927128845,78;2535275364020,42;-43879805378,99;5064723013,25;13756798880,71;91261303935,7;94008496687,78;47132389011,86;2750862282992,62;1355122326,39;703811010637,53;106837199920,27;25742647005,88;21283484536,06;121762273318,18;44222157640,27;0;0;0;189527978317,58;30042356197,74;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2015-12-01;567672874211,05;686343098074,02;2565216935135,45;-40921697294,71;2702063157,13;13333753739,18;92985686725,67;94375078892,8;45475356509,35;2794533970348,78;0;696331263044,12;99491267470,64;27122814909,51;21333363717,02;144950948838,25;45540226934,41;0;0;0;189527978317,58;7410295429,22;9574611010,4;14406348661,52
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-01-01;609446311566,06;670753093760,35;2566720164727,65;-42617748459,28;3639460882,32;13467535718,44;93592242087,45;93718145398,15;44859243394,38;2782997988915,92;0;730968336055,55;96680260056,48;31604310918,86;21432229775,63;144950948838,25;44399417505,66;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-02-01;585838878603,33;691555245444,6;2558018094730,92;-42577070064,54;4006290668,33;13225010198,26;92184998010,41;93406586712,01;53859499769,84;2778472755265,1;33002520833,33;690807812723,46;99742907617,77;32071593628,69;21438298989,92;144950948838,25;44159611148,24;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-03-01;591089936933,15;753961298051,06;2574547843319,83;-44004808842,78;3052920671,93;12900722232,78;93444971278,47;92973566067,07;39322424594,82;2872252486695,76;13000993055,56;699413971870,98;88626437111,23;25546501587,95;21239422117,12;144950948838,25;44714629712,64;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-04-01;581589067605,59;800723324821,29;2552517012512,51;-42645442242,91;3623416575,19;12941166519,64;93560887151,38;92454443868,22;39147094127,31;2867393855944,39;40505343055,56;680615171789,21;99393267835,38;21879298684,34;21414485428,61;144950948838,25;44834706561,54;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-05-01;595607573404,8;845851954049,22;2571140857828,41;-43453528294,7;5373418581,62;12963281414,35;92878017555,99;92430135920,56;38934650553,33;2971853773276,74;16001222222,22;672091042138,47;97442669468,06;27407368164,36;21547411460,73;144950948838,25;44078010675,29;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-06-01;680224137527,56;843950818040,74;2597704035744,55;-44746193521,55;3157636784,19;13947451190,82;93852418448,72;92221185379,79;45947501154,7;3034803686304,5;38002902777,78;701324203898,32;96878012697,83;24264261691,82;21720536870,68;144950948838,25;45228452660,9;0;0;0;204293990482,18;17124161993,44;0;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-07-01;655028316944,15;992742810426,34;2576425508291,75;-45300570001,01;3691102133,58;13663589343,47;94946096201,36;92085634721,14;41486222967,1;3186196800786,37;3000687500,01;672213943865,96;98651131762,54;29793325873,44;21889924153,81;144950948838,25;45256869309,97;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-08-01;641994922147,09;980481729088,25;2593967031437,74;-46844608290,52;3540717105,63;13442432889,12;96156384346,04;91698408002,39;43315056730,03;3140322123733,58;0;709454958225,9;103531863916,18;27740140397,21;22103251684,98;144950948838,25;45354513753,91;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-09-01;703439185116,05;949586086505,12;2653210978085,83;-45308331247,95;3539116976,33;13869257075,74;96370111020,67;93172977114,61;49333579257,65;3260508031254,16;3000229166,67;677588638761,14;107991129471,12;26723333536,33;21910021029,79;144950948838,25;45163738931,59;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
1;"BANCOS COMERCIALES DEL ESTADO";"4000000019";"BCR";2016-10-01;668324512470,08;1041585479542,3;2652819897048,79;-45826475233,49;4769003399,17;14735752203,71;94023677544,83;92811113008,15;43870940913,82;3200712195497,46;54404155555,56;721250074923,04;112065068509,35;33634770956,82;22062432565,32;144950948838,25;45380264040,72;0;0;0;204293990482,18;17124161993,44;25031187349,07;17382838706,3
