"entidad","periodo","C110_Disponibilidades","C120_Inversiones","C130_Creditos","C139_Estimaciones","C140_CuentasxCobrar","C150_BienesVenta","C160_PartEmpresas","C170_PropiedadesEquipo","C180_OtrosActivos","C210_OblPublico","C220_OblBCCR","C230_OblEntidades","C240_CuentasxPagar","C250_OtrosPasivos","C310_CapitalSocial","C330_AjusOtrosResultados","C320_AportNoCap","C290_CapitalxPagar","C340_Reservas","C350_ResultadosAcum"
"COOCIQUE",2015-01-01,2227786316.14,36118976165.84,102501340356.32,-3103017666.11,240273338.45,634423148.33,983070195.35,3218958834.8,483034487.54,91779156872.95,0,30392684338.7,1605038882.19,485125519.71,18115759522.14,1955114380.27,0,0,1608044090.38,309176508.29
"COOCIQUE",2015-02-01,2055443364.35,36487746264.01,103681118210.71,-2806212534.63,283290964.85,735645544.87,987903569.9,3197587624.55,472994744.41,93172237936.12,0,30326870839.44,1514272108.47,514832981.25,18329166594.45,1939125087.2,0,0,1593980713.45,309176508.29
"COOCIQUE",2015-03-01,1820786287.28,36426147005.01,104758717218.93,-3279106742.1,244273186.61,669771656.7,990873386.49,3183800088.51,541337289.27,94595221243.87,0,29952182881.85,1453036422.04,576142838.81,18321788498.4,1930973197.27,0,0,1583544809.26,0
"COOCIQUE",2015-04-01,2500800927.3,38177243223.21,104931159944.59,-3351576667.6,179162228.76,708667435.68,993047553.97,3179289777.95,532419336.6,96813988274.06,0,30814652845.34,1493010937.48,590708230.75,17813593282.39,1997044277.56,0,0,1576351963.69,0
"COOCIQUE",2015-05-01,1813567347.06,39479666491.44,105102684623.68,-3134784172.6,262162673.83,1045107039.85,1060803140.16,3184628667.09,518986480.9,98311079474.65,0,30141165070.89,1525191084.71,597266528.41,17994946704.24,1995292452.5,0,0,1572211103.44,0
"COOCIQUE",2015-06-01,2044195513.92,38888384827.98,105599473755.12,-3032519699.74,203299243.26,1112079161.65,1059267850.72,3170413116.08,485644859.91,98776731855.73,0,29467032848.31,1672802443.39,583096553.04,18087705523.26,2023736352.05,0,0,1563971363.84,0
"COOCIQUE",2015-07-01,1824079255.58,39834284653.41,106222077796.51,-3213041735.78,209424830.9,945523907.29,1061581779.96,3152968745.59,483750868.96,99949512942.51,0,29202988421.49,1687618217.4,587186383.02,18268069174.7,2031347141.31,0,0,1555418478.21,0
"COOCIQUE",2015-08-01,2220076430.02,39699823612.26,106803861780.62,-3377780011.58,226174775.23,1015476189.72,1065125245.48,3136665422.9,471734694.85,101058357846,0,28890088960.69,1761359291.73,605060698.76,18271008278.15,1999388403.25,0,0,1547544713.09,0
"COOCIQUE",2015-09-01,1538605177.37,39231038025.82,107778837700.13,-3581645371.53,316150188.47,1234783516.69,1067514233.77,3105548399.06,777633384.57,101572939123.17,0,28235193833.71,1878578417.86,904688887.72,18413719052.05,1986542674.21,0,0,1535575685.21,0
"COOCIQUE",2015-10-01,1839157184.19,39039541754.03,109095501360.62,-3781032305.89,392730951.14,1228514076.21,1069245777.74,3080353589.52,844097046.94,103123336293.33,0,27882058978.73,2195027206.35,957537300.18,18355016047.88,2020601814.52,0,0,1527888406.53,0
"COOCIQUE",2015-11-01,1752558711.99,39489812232.81,111098298872.65,-3523800382.5,483309193.92,1342068645.32,1074392689.04,3068525098.21,779672966.67,105709651639.33,0,27517865803.3,2247864411.92,990635692.55,18542943292.12,1977753413.8,0,0,1515558281.95,0
"COOCIQUE",2015-12-01,2013120065.13,38809909916.86,111954920706.95,-3575404864.48,809845450.68,1330711935.15,1069914186.39,3039053581.61,434365043.4,105161001591.22,0,28671007804.58,2546539806.1,997320053.81,18271500185.05,2006465464.63,0,0,1496768477.86,0
"COOCIQUE",2016-01-01,1866364518.58,38961679013.44,113040067766.04,-3476943461.12,471579701.63,1290713857.88,1087181997.56,3018788448.05,443632353.36,105467821518.02,0,28875131132.47,2513909414.77,1017733616.83,17867487963.58,1995302078.73,0,0,1590764420.03,711325949.79
"COOCIQUE",2016-02-01,1717245091.33,37035708123.64,114814600868.59,-3594481887.05,713812780.55,1261937372.2,1092970786.9,2999807818.07,435622063.56,105427900203.81,0,28480851370.4,2559005614.69,1034418636.06,18077760722.79,1948924843.12,0,0,1584705877.58,711325949.79
"COOCIQUE",2016-03-01,1869347976.21,37018500169.77,116274385554.12,-3604290990.54,719179215.32,1202777709.42,1100804244.42,2981154073.15,464990563.67,105916758318.36,0,29282223621.93,2786422181.55,1070298871.88,18694202288.12,1939320434.32,0,0,1579449573.23,0
"COOCIQUE",2016-04-01,1807609663.68,36488711327.03,117568412170.45,-3916757367.22,723749831.95,1300379257.02,1108490307.41,2964616745.75,454957921.91,107292396235.67,0,28993524263.72,2241935359.77,1114196117.89,18908402393.4,1949035166.52,0,0,1573047239.45,0
"COOCIQUE",2016-05-01,1861074602.39,34157988929.2,119346714325.72,-4272144916.79,965791088.78,1334185019.35,1109093301.13,2947673731.25,450290290.61,107538682674.61,0,28319459132.25,2584582982.85,1160978301.85,18582080996.29,1948454088.9,0,0,1568154241.87,0
"COOCIQUE",2016-06-01,2077135245.6,34377393973.55,121444362767.26,-4266126044.37,1133965626.47,1269886788.64,1115824038.82,2935277025.35,483270101.34,108425098589.29,0,29489347213.26,2795228931.32,1196839287.72,18831062091.58,1964707974.84,0,0,1563498166.37,0
"COOCIQUE",2016-07-01,2368465022.11,34172886542.22,123850270521.54,-4476654995.87,1185935086.51,1264121260.83,1131949071.9,2966641891.05,497903132.78,109077648116.49,0,31375169663.04,2710940208.34,1241885106.2,18895278824.03,1976584782.64,0,0,1560164496.98,0
"COOCIQUE",2016-08-01,2129685644,34048598674.98,126428425810.13,-4599963760.15,1215081542.95,1280539122.83,1135215474.39,2948483020.15,521147155.55,109227826759.87,0,32976863858.63,2865435532.89,1295834615.96,19159256792.27,1951099865.47,0,0,1556242122.81,0
"COOCIQUE",2016-09-01,2013197337.03,33262784220.73,128589493116.72,-4675654530.67,1443122100.76,1216104048.99,1139689259.86,2931604399.1,523990049.74,109657124100.4,0,33517004554.63,3221268757.94,1331826176.79,19159160393.94,1937066542.56,0,0,1551922054.8,0
"COOCIQUE",2016-10-01,2004531951.39,33847514367.47,130274701077.18,-4997956466.87,1764712224.65,1113511595.06,1146632063.27,2931671680.85,535024924.92,110084841718.47,0,35129645158.19,3372145826.21,1368119183.78,19419048407.59,1965419990.16,0,0,1544155848.17,0
"COOCIQUE",2016-11-01,1856735441.55,34250737697.34,132049315474.27,-4805487327.6,1878526619.49,1041299021.78,1150364514.61,2931085142.63,561739799.11,111216753692.14,0,35887518212.91,3634792130.25,1391220117.16,19265048156.52,1944093670.49,0,0,1534392633.1,0
"COOCIQUE",2016-12-01,1965898832.16,35512273962.82,132958348234.5,-4810573398.65,925061913.01,993563065.88,1141165636.25,2985045527.37,548990840.06,111468991760.93,0,37835166315.85,2428252832.27,1567176013.9,19360574910.62,1933834034.4,0,0,1521624624.32,0
"COOCIQUE",2017-01-01,3171548876.54,37594389259.8,132568346948.19,-4904044776.44,263362654.69,904416432.32,1143343057.92,2966882298.42,556884617.57,112813008090.43,0,38042353182.89,2802745861.72,1547715363.17,19512610812.75,1999951224.14,0,0,1874692626.76,556020235.84
"COOCIQUE",2017-02-01,2804370370.14,38622135956.51,134139976749.77,-4640938252.04,263326966.85,874468507.81,1143162634.65,2966853308.94,574011018.72,115179831937.94,0,37588739724.47,2706159189.25,1564463886.44,19726466651.19,2021774789.45,0,0,1865369010.25,556020235.84
"COOCIQUE",2017-03-01,2449364068.78,40299396619.53,135380339170.54,-4647830690.76,198675246.52,801826961.04,1152801125.03,2962014958.6,602142370.9,116963573828.44,0,37732928927.18,3320106413.61,1585566684.5,20084275476.39,1989412553.02,0,0,1854322905.6,0
"COOCIQUE",2017-04-01,3132949797.27,39379890408.24,135474701871.34,-4806603056.87,363347769.77,736573222.94,1163141124.23,2970281804.13,626395505.66,118254549186.72,0,37332833090.68,2145248189.28,1585127827.9,20310856495.37,1998301892.48,0,0,1842061601.75,0
