"entidad","periodo","C110_Disponibilidades","C120_Inversiones","C130_Creditos","C139_Estimaciones","C140_CuentasxCobrar","C150_BienesVenta","C170_PropiedadesEquipo","C180_OtrosActivos","C210_OblPublico","C230_OblEntidades","C240_CuentasxPagar","C250_OtrosPasivos","C260_ObligSubord","C310_CapitalSocial","C330_AjusOtrosResultados","C320_AportNoCap","C340_Reservas","C350_ResultadosAcum"
"CAFSA",2015-01-01,5288670993.19,2635037067.42,26160227311.55,-187954858.5,1133887.73,19547934.38,72802759.11,121556258.51,23311095298.22,3374776075.89,1827286796.86,441090276.35,0,4.35e+09,0,0,257822946.6,9810805.4
"CAFSA",2015-02-01,5816983794.86,6064006352.48,26555255397.37,-182832876.9,935085.83,15467487.63,70155003.6,174641671.39,24299276249.47,6464649088.66,2080399667.63,460910835.77,0,4.35e+09,0,0,257822946.6,686616968.89
"CAFSA",2015-03-01,5310987399.88,4885812391.41,27266257184.05,-223693665.6,885783.79,14557784.63,74110462.25,229896958.84,23165812959.41,6224499923.56,2448531998.22,512039019.34,0,4.35e+09,0,0,257822946.6,686616968.89
"CAFSA",2015-04-01,4721879619.36,4880097628.06,28405390454.32,-218046359.69,662839.05,13648081.63,124217967.84,238767784.92,22950861428.23,6002825808.72,3403188636.96,541354245.55,0,4.35e+09,0,0,257822946.6,686616968.89
"CAFSA",2015-05-01,4230350237.74,4245527973.32,29694671376.18,-182061227.5,561774.71,3628664.96,130235022.26,245891566.51,22586193028.52,5883964450.77,3900038477.09,616197826.61,0,4.35e+09,0,0,257822946.6,686616968.89
"CAFSA",2015-06-01,4770527508.39,2305116336.35,30430775611.33,-193736046,289535.47,3326276.21,121091446.75,249850163.15,21990179293.8,5639004786.8,4032569074.82,647017962.58,0,4.35e+09,0,0,257822946.6,686616968.89
"CAFSA",2015-07-01,4561523481.62,3360922458.01,30789967146.21,-192942116.5,30207938.77,0,117710565.65,256295846.36,21837867596.51,7000975934.11,3951395206.15,666327970.94,0,4.35e+09,0,0,257822946.6,686616968.89
"CAFSA",2015-08-01,5327971246.15,3357634279.39,31378742758.26,-183506727.5,20173188.71,0,117927255.28,252761304.45,21928139832.21,7679916730.71,4445697023.01,685534591.63,0,5.034e+09,0,0,257822946.6,2616968.89
"CAFSA",2015-09-01,6471115224.86,4944633710.35,31653773120.6,-201505032,12284530.58,0,114677825.76,254929223.67,25405648385.29,7416095521.28,4167553393.54,720437421.9,0,5.034e+09,0,0,257822946.6,2616968.89
"CAFSA",2015-10-01,5216667813.38,3197884092.72,32659977846.53,-221082621,1483169.96,0,117823171.18,276643650.2,23359754514.42,7174094854.29,4424362450.65,759544052.52,0,5.034e+09,0,0,257822946.6,2616968.89
"CAFSA",2015-11-01,4762816017.48,4240344634.28,33377878290.52,-217097235,6297152.44,0,117024501.18,273702408.84,22763906400.39,9403488386.4,4005952045.76,809489574.75,0,5.034e+09,0,0,257822946.6,2616968.89
"CAFSA",2015-12-01,4706405785.4,4128343829.59,34768462177.62,-213631073.99,13352588.84,0,114597601.82,280502846.28,22951669494.4,9133707936.4,5251160692.26,815558301.24,0,5.034e+09,0,0,257822946.6,2616968.89
"CAFSA",2016-01-01,5625637326.61,3596853623.29,35245172925.04,-269446986,6013298.25,0,117240524.69,286956746.4,23451514485.78,9886434461.3,4817649199.17,827822770.35,0,5.034e+09,0,0,286079371.09,539489034.16
"CAFSA",2016-02-01,5663731026.32,930498092.84,35683326322.54,-233271631.5,11552917.75,0,115501551.04,303954269.65,20852353631.76,10247843233.74,4791045772.64,862740419.49,0,5.034e+09,0,0,286079371.09,539489034.16
"CAFSA",2016-03-01,6105193816.19,930881567.99,37673175877.04,-250086320.5,13112815.61,0,114035621.53,306508801.84,20726856419.48,12723217099.7,4785670096.31,920090808.19,0,5.034e+09,0,0,286079371.09,539489034.16
"CAFSA",2016-04-01,5625812663.36,933505339.98,40061832179.27,-297586144.5,8190672.9,0,110218306.52,323098681.75,21041351378.22,13115468020.64,5865177411.17,1007456631.65,0,5.034e+09,0,0,286079371.09,539489034.16
"CAFSA",2016-05-01,6232103358.81,400606667.17,42291310880.77,-262808037.49,32947583.78,0,106627013.54,308138555.6,20795934539.81,15411333074.8,5974297339.85,1070429486.28,0,5.034e+09,0,0,286079371.09,539489034.16
"CAFSA",2016-06-01,7049494512.28,250972986.11,44644144196.82,-296901270.5,26252048.47,0,105667345.33,308636514.88,21317161299.24,17679097854.19,6011785684.34,1155039951.12,0,5.564e+09,0,0,286079371.09,9489034.16
